Arms ;Cost ;Weight ;Damage ;S ;T ;Sp ;ROF ;Range
;;;;;;;;
Arrow, Barbed, Single ;1 sp ;0.2;1-6/1-6 ;S ;P ;0;;
Arrow, Broad-head, Single ;1 sp ;0.2;2-7/1-6 ;S ;P ;0;;
Arrow, Blunt-head, Single ;1 cp ;0.2;1-3/1-3 ;S ;P ;0;;
Arrow, Daikyu ;5 bp ;0.2;1-8/1-6 ;M ;P ;0;;
Arrow, Corded, Single, (120'cord) ;6 gp ;2.5;1-3/1-2 ;S ;P ;0;;
Arrow, Flaming, Single ;5 gp ;0.4;2-7/2-8 ;S ;P ;0;;
Arrow, Flight, Single ;25 bp ;0.1;1-6/1-6 ;S ;P ;0;;
Arrow, Flight, Dozen ;3 sp ;1.2;0;0;0;0;;
Arrow, Frog crotch ;1 sp ;0.2;1-6/1-3 ;S ;P ;0;;
Arrow, Grappling, Single, (120'cord) ;10 gp ;3;1-4/1-3 ;S ;P ;0;;
Arrow, Humming bulb ;2 sp ;0.2;1-2/1-2 ;S ;P ;0;;
Arrow, Normal, Single ;1 cp ;0.2;1-6/1-6 ;S ;P ;0;;
Arrow, Normal, Dozen ;1 sp ;2.4;0;0;0;0;;
Arrow, Sheaf, Single ;5 cp ;0.1;1-8/1-8 ;S ;P ;0;;
Arrow, Sheaf, Dozen ;6 sp ;1.2;0;0;0;0;;
Arrow, Silver, Single ;1 gp ;0.2;1-6/1-6 ;S ;P ;0;;
Arrow, Spiral, Single ;1 gp ;0.2;2-7/2-7 ;S ;P ;0;;
Arrow, Stone, Single ;2 bp ;0.1;1-4/1-4 ;S ;P ;0;;
Arrow, Stone, Dozen ;3 cp ;1.2;0;0;0;0;;
Arrow, Wooden, Single ;5 bp ;0.2;1-5/1-3 ;S ;P ;0;;
Blowgun Needle,barbed ;1 sp ;0.1;1-2/1-2 ;S ;P ;0;;
Blowgun Needle,normal ;2 cp ;0.1;1-1/1-1 ;S ;P ;0;;
Quarrel (or Bolt), Hand, Single ;1 gp ;0.1;1-6/1-6 ;S ;P ;0;;
Quarrel (or Bolt), Hand, Score ;20 gp ;2;0;0;0;0;;
Quarrel (or Bolt), Heavy, Single ;1 sp ;0.1;1-12/1-12 ;S ;P ;0;;
Quarrel (or Bolt), Heavy, Score ;2 gp ;2;0;0;0;0;;
Quarrel (or Bolt), Light, Single ;1 sp ;0.1;1-8/1-8 ;S ;P ;0;;
Quarrel (or Bolt), Light, Score ;2 gp ;2;0;0;0;0;;
Quarrel (or Bolt), Medium, Single ;1 sp ;0.1;1-10/1-10 ;S ;P ;0;;
Quarrel (or Bolt), Medium, Score ;2 gp ;2;0;0;0;0;;
Sling Bullet, Single ;1 cp ;0.2;2-5/2-5 ;S ;B ;0;1;5/10/20
Sling Bullet, Score ;2 sp ;4;0;0;0;0;;
Sling Stone, Single ;0;0.2;1-4/1-4 ;S ;B ;0;1;4/8/16
Sling Stone, Score ;0;4;0;0;0;0;;
Staff Sling Stinkpot ;1 sp ;2;1-3/1-3 ;S ;B ;0;2/1 ;-/3-6/9
;;;;;;;;
Bladed Weapons;;;;;;;;
Dagger or Dirk ;2 gp ;1;1-4/1-3 ;S ;P ;2;2/1 ;1/2/3
Dagger, Bone ;1 sp ;1;1-2/1-2 ;S ;P ;2;2/1 ;1/2/3
Dagger, Parrying ;5 gp ;1;1-3/1-3 ;S ;P ;2;2/1 ;.5/1/2
Dagger, Stone ;2 sp ;1;1-3/1-2 ;S ;P ;2;2/1 ;1/2/3
Knife ;5 sp ;0.5;1-3/1-2 ;S ;P/S ;2;2/1 ;1/2/3
Knife, Bone ;3 cp ;0.5;1-2/1-2 ;S ;P/S ;2;2/1 ;1/2/3
Knife, Stone ;5 cp ;0.5;1-2/1-2 ;S ;P/S ;2;2/1 ;1/2/3
Main-Gauche ** ;3 gp ;2;1-4/1-3 ;S ;P/S ;2;;
Stiletto ;5 sp ;0.5;1-3/1-2 ;S ;P ;2;2/1 ;1/2/3
Sword, Bastard ;25 gp ;10;1-8/1-12 ;M ;S ;6;;
2-Handed ;25 gp ;10;2-8/2-16 ;M ;S ;8;;
Sword, Broad ;10 gp ;8.5;2-8/2-7 ;M ;S ;5;;
Sword, Claymore ;25 gp ;10;1-10/3-18 ;L ;S ;10;;
Sword, Cutlass ;12 gp ;4;1-6/1-8 ;M ;S ;3;;
Sword, Drusus ;50 gp ;3;2-7/2-9 ;M ;S ;3;;
Sword, Falchion ;17 gp ;8;2-7/2-8 ;M ;S ;5;;
Sword, Katana ;100 gp ;6;1-10/1-12 ;M ;S/P ;4;;
2 Handed ;100 gp ;6;2-12/2-12 ;M ;S/P ;4;;
Sword, Kopesh ;10 gp ;7;2-8/1-6 ;M ;S ;9;;
Sword, Long ;15 gp ;4;1-8/1-12 ;M ;S ;5;;
Sword, Rapier ;15 gp ;3.5;2-7/2-9 ;M ;P ;4;;
Sword, Saber ;17 gp ;5;2-7/2-9 ;M ;S ;4;;
Sword, Scimitar ;15 gp ;4;1-8/1-8 ;M ;S ;5;;
Sword, Short ;10 gp ;3;1-6/1-8 ;S ;P ;3;;
Sword, 2-handed ;50 gp ;15;1-10/3-18 ;L ;S ;10;;
Sword, Wakizashi ;50 gp ;3;1-8/1-8 ;M ;S/P ;3;;
Sword, Wooden, Boku-toh ;1 gp ;3;1-4/1-2 ;0;0;0;;
