Arms ;Cost ;Weight ;Damage ;S ;T ;Sp ;ROF ;Range
;;;;;;;;
Dagger or Dirk ;2 gp ;1;1-4/1-3 ;S ;P ;2;2/1 ;1/2/3
Dagger, Bone ;1 sp ;1;1-2/1-2 ;S ;P ;2;2/1 ;1/2/3
Dagger, Parrying ;5 gp ;1;1-3/1-3 ;S ;P ;2;2/1 ;.5/1/2
Dagger, Stone ;2 sp ;1;1-3/1-2 ;S ;P ;2;2/1 ;1/2/3
Knife ;5 sp ;0.5;1-3/1-2 ;S ;P/S ;2;2/1 ;1/2/3
Knife, Bone ;3 cp ;0.5;1-2/1-2 ;S ;P/S ;2;2/1 ;1/2/3
Knife, Stone ;5 cp ;0.5;1-2/1-2 ;S ;P/S ;2;2/1 ;1/2/3
Main-Gauche ** ;3 gp ;2;1-4/1-3 ;S ;P/S ;2;;
Stiletto ;5 sp ;0.5;1-3/1-2 ;S ;P ;2;2/1 ;1/2/3
Sword, Bastard ;25 gp ;10;1-8/1-12 ;M ;S ;6;;
2-Handed ;25 gp ;10;2-8/2-16 ;M ;S ;8;;
Sword, Broad ;10 gp ;8.5;2-8/2-7 ;M ;S ;5;;
Sword, Claymore ;25 gp ;10;1-10/3-18 ;L ;S ;10;;
Sword, Cutlass ;12 gp ;4;1-6/1-8 ;M ;S ;3;;
Sword, Drusus ;50 gp ;3;2-7/2-9 ;M ;S ;3;;
Sword, Falchion ;17 gp ;8;2-7/2-8 ;M ;S ;5;;
Sword, Katana ;100 gp ;6;1-10/1-12 ;M ;S/P ;4;;
2 Handed ;100 gp ;6;2-12/2-12 ;M ;S/P ;4;;
Sword, Kopesh ;10 gp ;7;2-8/1-6 ;M ;S ;9;;
Sword, Long ;15 gp ;4;1-8/1-12 ;M ;S ;5;;
Sword, Rapier ;15 gp ;3.5;2-7/2-9 ;M ;P ;4;;
Sword, Saber ;17 gp ;5;2-7/2-9 ;M ;S ;4;;
Sword, Scimitar ;15 gp ;4;1-8/1-8 ;M ;S ;5;;
Sword, Short ;10 gp ;3;1-6/1-8 ;S ;P ;3;;
Sword, 2-handed ;50 gp ;15;1-10/3-18 ;L ;S ;10;;
Sword, Wakizashi ;50 gp ;3;1-8/1-8 ;M ;S/P ;3;;
Sword, Wooden, Boku-toh ;1 gp ;3;1-4/1-2 ;0;0;0;;
