Arms;Cost;Weight;Damage;S;T;Sp;ROF;Range
;;;;;;;;
Aklys ;2 gp ;3.5;1-6/1-3 ;0;0;0;;
Atlatl ;1 gp ;1;0;0;0;0;;
Blackjack ;2 sp ;5;1-4/1-2 ;0;0;0;;
Belaying Pin ;2 cp ;2;1-3/1-3 ;S ;B ;4;;
Bolas ;5 sp ;2;1-3/1-2 ;M ;B ;8;1;3/6/9
Caltrop ;2 sp ;0.4;1-1/1-2 ;S ;P ;0;;
Caviler ;450 gp ;11;1-8/1-8 ;M ;P ;12;1/4 ;4/8/14
Cestus ;1 gp ;2;1-4/1-3 ;S ;S ;2;;
Chain ;5 sp ;3;2-5/1-4 ;L ;B ;5;* ;.5/1/2
Fang ;1 gp ;3;1-6/1-4 ;0;0;0;;
Gaff/Hook, Attached ;2 gp ;2;1-4/1-3 ;S ;P ;2;;
Gaff/Hook, Held ;5 cp ;2;1-4/1-3 ;S ;P ;2;;
Garrot ;1 sp ;0.1;1-4/1-6 ;S ;0;3;;
Jo Stick ;1 gp ;4;1-6/1-4 ;L ;P ;4;;
Lasso ;5 cp ;2;0;L ;0;10;* ;1/2/3
Net ;5 gp ;10;0;M ;0;10;* ;1/2/3
Ninja-to & scabbard ;5 gp ;5.5;1-8/1-6 ;0;0;0;;
Nunchaku ;1 gp ;3;1-6/1-6 ;M ;B ;3;;
Sai ;8 sp ;2;1-4/1-2 ;0;0;0;;
Sap ;1 gp ;1;1-2/1-2 ;S ;B ;2;;
Scourge ;1 gp ;2;1-4/1-2 ;S ;0;5;;
Spiked Buckler ;10 gp ;3.5;1-4/1-3 ;0;0;0;;
Three-piece rod ;2 gp ;5;1-6/1-4 ;0;0;0;;
Tui-fa ;5 gp ;1.5;1-6/1-4 ;0;0;0;;
Whip,metal ;8 gp ;7.5;2-5/1-4 ;M ;0;8;;
Whip,rawhide ;1 gp ;2;1-2/1-2 ;M ;0;8;;
