 Siege Engines/Devices of War ;Cost ;Weight ;Damage ;Dp ;Crew ;Range ;ROF ;Thac0
;;;;;;;;
Ballista, Heavy ;800 gp ;300;3d10 ;3d2 ;4;1000 yd ;(1/4) ;17
Ballista, Light ;400 gp ;100;2d6 ;0;1;3000 yd ;(1/2) ;12
Ballista, Medium ;600 gp ;250;3d6 ;1d3 ;2;2000 yd ;(1/3) ;14
Bombard ;20,000 gp ;2000;2d20 ;1d6 ;3;1000 yd ;(1/3) ;17
Catapult, Heavy (Trebuchet) ;1000 gp ;1000;3d10 ;2d4 ;5;1500 yd ;(1/3) ;16
Catapult, Light ;500 gp ;250;2d10 ;1d2 ;1;2500 yd ;(1/2) ;14
Catapult, Medium ;700 gp ;400;3d10 ;2d2 ;3;2000 yd ;(1/2) ;15
Cauldron, Suspended ;50 gp ;;;2;;;;
Gallery, Covered ;350 gp ;;;10;;;;
Hoist ;150 gp ;;;4;;;;
Mangonel ;75 gp ;;;2;;;;
Mantlet, Movable ;25 gp ;;;3;;;;
Ram ;500 gp ;;;12;;;;
Ram catcher ;20 gp ;;;1;;;;
Ribald & ;1200 gp ;80;1d4 ;0;3;(3/6/9) ;(1/24) % ;
Scorpion ;75 gp ;;;2;;;;
Siege tower ;800 gp ;;;16;;;;
Sow ;500 gp ;;;12;;;;
Tortoise ;350 gp ;;;10;;;;
Trebuchet ;500 gp ;;;8;;;;
