A;B;C;D;E;F
opaque azurite;dark gray bloodstone with red flecks;transparent golden amber;pale blue-green aquamarine;Dark green black opal with black mottling and golden flecks;rich black sapphire
mottled deep blue azurite;orange carnelian;dark green alexandrite;violet crystal garnet;fiery red fire opal;clear blue-white diamond
transparent pale blue quartz;Red-brrown carnelian;purple crystal amethyst;rose pearl;pale blue opal with green and gold mottling;rich blue diamond
gray eye agate;white chalcedony;green chrysoberyl;black pearl;deep purple oriental amethyst;yellow diamond
white eye agate;translucent emerald green chrysoprase;Yellow-green chrysoberyl;olive green peridot;fiery yellow oriental topaz;poink diamond
brown eye agate;pale yellow-brown citrine;pink coral;green spinel;clear sapphire;brilliant green emerald
blue eye agate;blue jasper;crimson coral;deep blue spinel;medium blue sapphire;fiery orange jacinth
green circles eye agate;black jasper;deep red garnet;golden yellow topaz;;bright green oriental emerald
gray-black hematite;white moonstone with pale blue hue;light green jade;;;deep crimson red ruby
light blue lapis lazuli;black onyx;dark green jade;;;translucent ruby with white star highlights
dark blue lapis lazuli with yellow fecks;white onyx;white jade;;;translucent blue sapphire with white star highlights
striated light green malachite;onyx with black and white bands;deep black jet;;;
striated dark green malachite;clear rock crystal;pure white pearl;;;
pink moss agate;transparent rock crystal;pale green tourmaline;;;
yellow-white moss agate;sardonyx with red and white bands;blue tourmaline;;;
gray-green moss agate;light gray smoky quartz;brown tourmaline;;;
jet black obsidian;yellow smoky quartz;red tourmaline;;;
light pink rhodochrosite;brown smoky quartz;red spinel;;;
rich golden brown tiger eye agate with dark striping;blue smoky quartz;Red-brown spinel;;;
aqua turquoise with darker mottling;smoky star rose quartz with white star center;;;;
;clear pale aqua zircon;;;;
