"scraps of bad poetry";"box of chalk";"flask of oil";"compass (d8 gp)";"crystal prism"
"shark's tooth";"empty waterskin";"flint and steel";"signal whistle";"silver handmirror"
"shopping list";"cloth cap";"pair of cloth gloves";"steel mirror (d4 gp)";"tiny music box"
"dirty handkerchief";"sewing needles";"lacy undergarments";"drafting compass";"silver bell"
"blob of wax";"spools of thread";"small torch";"glass cutter";"magnifying glass"
"candle";"iron pliers";"metal file";"deerskin gloves";"vial of perfume"
"wooden comb";"small glass jar";"oxbone scissors";"tinder box";
"bottle cork";"1d3 incense sticks";"3d4 foolsgold pieces";"thief's tools";
"bent nails";"fancy quill";"steel folding knife";"leather belt";
"pouch of sand";"small iron box";"1d5 bandages";"grappling hook";
"personal letter";"1d6 feet of string";"1d4 feet of rope";"poor lock";
"bloody rag";"bone tweezers";"whetstone";"vial of writing ink";
"lock of hair";"small wooden mallet";"empty small pouch";;
"page torn from a book";"1d4 fishhooks";"small hourglass";;
"jar of urine";"empty glass bottle";"merchant's scale";;
"set of wooden false teeth";"2d6 blank papyrus scrolls";;;
"1d6 colorful pebbles";;;;
"small sack";;;;
"block of lard soap";;;;
