"Taste"	"Container"	"Label"	"Label Language"	"Color"	"Extra"	"Extra Options"	"Extra Dice"	"Extra Color"	"Extra Smell"
" Tasteless/Odorless"	"Flask"	"None"	"Dwarven"	" Apple Green"	" After drinking the potion the drinker is struck blind for DICE hours"		"1d6"		
" Acrid"	"Crock"	"Incorrect"	"Elvish"	" Aqua Blue"	" After drinking the potion the drinker's tongue grows DICE' longer, making speech, spell-casting, and kissing next to impossible for DICE days."		"1d3"		
" Alcohol"	"Pot"	"Correct"	"Common"	" Aquamarine"	" After drinking the potion, any magic spells or magic-like abilities have bizarre side-affects (GM's decision) for DICE days."		"1d6"		
" Ale"	"Stein"		"Halfling"	" Avocado Green"	" After drinking the potion, the character can only speak gibberish for DICE hours."		"3d12"		
" Almond"	"Jug"		"Gnome"	" Beige"	" After drinking the potion, the drinker cannot bear to eat one type of food (DM's choice) for 24 Hours"				
" Ammonia"	"Bottle"			" Black"	" After drinking the potion, the drinker cannot use any magic spells or magic-like abilities for DICE hours."		"1d4"		
" Apple"	"Jar"			" Blood Red"	" After drinking the potion, the drinker gets a nasty rash all over her body."				
" Ashes"	"Vial"			" Blue"	" After drinking the potion, the drinker grows a small tail (Gm's decision what kind) This tail lasts DICE weeks, then falls off without harming the drinker."		"1d6"		
" Bacon"	"Crystal Decanter"			" Blue Grey"	" After drinking the potion, the drinker is seized with an irresistible urge to strip totally naked and stack up all clothes, armor, and weapons in a nice, neat bundle."				
" Banana"	"Skull"			" Blue-Brown"	" After drinking the potion, the drinker is struck mute for DICE hours."		"1d6"		
" Beef"	"Ceramic pyramid"			" Blue-Green"	" After the potion has been drank, a blast of steam blasts out of the drinker's ears accompanied by a horribly loud whistling noise. Neither the steam, nor the whistle harms the drinker."				
" Blueberry"	"Water skin"			" Brown-Grey"	" After the potion has been drank, for DICE hours afterward the drinker may only communicate in the loudest voice possible"		"2d6"		
" Brain-Numbingly Sour"	"Iron tube"			" Burnt Ochre"	" After the potion has been drank, the drinker is magically compelled to eat a large slab of raw meat at the first chance she gets."				
" Brine"				" Burnt Umber"	" After the potion has been drank, writing appears on the drinker’s tongue (Gm’s decision what it says) it goes away DICE hours later"		"1d4"		
" Butter"				" Canary Yellow"	" After the potion has been drunk, the drinker is driven mad with lust and is compelled to do terrible and naughty things with the next ""compatible"" person (or thing) she comes across."				
" Butter Rum"				" Cerulean Blue"	" After the potion is drank, a live (1d6) 1) snake 2)frog/ toad 3)hamster 4)mouse/rat 5)lizard 6)tiny gorilla wriggles it's way out of the drinker's throat, and forces it's way out of her mouth, jumps out and scurries away."		"1d6"		
" Buttered Toast"				" Chartreuse"	" After the potion is drank, a pretty flower grows out the drinker's head. This flower does not harm the drinker at all."				
" Buttermilk"				" Cherry-Blossom Pink"	" After the potion is drank, one of the character’s most prized and/or important possessions sprouts tiny wings and flutters around the character. It cannot be caught for at least DICE minutes, after which the wings disappear."		"3d6"		
" Carrot"				" Chestnut Brown"	" After the potion is drank, the drinker releases a thunderously loud belch"				
" Cheese"				" Colorless"	" After the potion is drank, the drinkers voice becomes high pitched and squeaky (As if he just inhaled helium) for DICE minutes"		"1d10"		
" Cherry"				" Cornflower Blue"	" For DICE minutes, everything the character says appears on large pieces of paper above her head, painted in large, bold letters."		"1d20"		
" Chocolate"				" Crimson"	" For DICE days after drinking the potion, the drinkers skin turns to a sickly greenish-gray pallor, her eyes get all bleary and milky, animals will avoid her, and she carries a rotten stench like an undead."		"1d3"		
" Cinnamon"				" Dark Blue"	" For DICE hours after drinking the potion, the drinker gives of an odor that enrages one type of creature (Gm's decision)"		"1d3"		
" Citrus"				" Dark Brown"	" For DICE days after drinking the potion the drinker is compelled to refer to herself in the third person."		"1d6"		
" Coconut"				" Dark Green"	" For DICE days after drinking the potion the drinkers hair becomes spiky and turns golden yellow, his eyes glow bluish-green and she is surrounded by a golden glow."		"1d6"		
