"Hafted"	"Cost"	"Weight"	"SM"	"L"
"Axe (Battle, 2-Handed)"	"15 gp"	17	"1d10"	"1d12"
"Axe (Battle)"	"5 gp"	7	"1d8"	"1d8"
"Axe (Hand)"	"1 gp"	5	"1d6"	"1d4"
"Club"	0	3	"1d6"	"1d3"
"Flail (Footman's)"	"15 gp"	15	"1d6+1"	"2d8"
"Flail (Horseman's)"	"8 gp"	5	"1d4+1"	"2d5"
"Maul"	"5 gp"	10	"1d6"	"1d8"
"Mace (footman's)"	"8 gp"	10	"1d6+1"	"1d6"
"Mace (horseman's)"	"5 gp"	6	"1d6"	"1d4"
"Military Pick (Footman's)"	"8 gp"	6	"1d6+1"	"2d8"
"Military Pick (Horseman's)"	"7 gp"	4	"1d4+1"	"1d4"
"Morning Star"	"10 gp"	12	"2d4"	"2d7"
"Sickle"	"6 sp"	3	"1d6"	"1d4"
"Warhammer"	"2 gp"	5	"1d4+1"	"1d4"
