Herbs ;Cost ;Purpose ;Time ;Zone ;Loc.
Adder's Tongue ;5gp/15gp ;anti-infection ;Sp ;Te ;Ru
Adgana ;10gp/500gp ;raises attributes ;Sp ;Te ;Ru
Agrimony ;2gp/8gp ;bruises, sprains ;Su ;Te ;Fo
Aldaka ;100gp/1000gp ;blindness ;Wi ;Cd ;Mo
Alether ;10gp/100gp ;combat skills ;Sp/Su ;Te ;Ru
Alkanet ;2gp/2gp ;antidote ;Su ;Te ;Ru
All-Heale ;2gp/10gp ;healing ;Au ;Te ;Fo
Aloe ;5cp/5cp ;healing, burns ;Au/Wi ;Te ;Gr
Amrans ;50gp/50gp ;healing ;Sp ;Te ;Ri/Ru
Angelica ;5sp/1gp ;coughing ;Su ;Te ;Mo
Anise ;1gp/1gp ;cures hiccups ;Su ;Te ;Ru
Anserke ;75gp/75gp ;bleeding ;Su ;Tr ;Co
Archangelica ;5sp/5sp ;colds, flu ;Su ;Te ;Sw
Arfandas ;2sp/3sp ;fractures ;Au/Wi ;Cd ;Ri
Arkasu ;12gp/12gp ;healing ;Au ;Te ;Gr
Arlan ;20sp/20sp ;healing ;Au ;Cd ;Gr
Arnica ;1gp/1gp ;bruising ;Su ;Te/Cd ;Mo
Arnuminas ;6gp/6gp ;tissue damage ;Au ;Te ;Gr
Arpusar ;7gp/30gp ;muscle damage ;Au ;Cd ;Ri
Asarabacca ;3gp/7gp ;renders docile ;Sp ;Te ;Fo
Ash ;5gp/8gp ;fevers, snakebite ;Sp ;Te ;Fo
Ashline ;50gp/500gp ;petrification ;Wi/Sp ;Te ;Mo
Athelas ;200gp/200gp ;??? ;Au ;Te ;Fo
Atigax ;40gp/70gp ;protects eyesight ;Wi ;Te ;Gr
Attanar ;8gp/8gp ;fevers ;Au/Wi ;Te ;Gr
Balm ;3gp/5gp ;menstrual pains ;Su ;St ;Fo
Barberry ;4gp/9gp ;liver disorders ;Su ;Te ;Ru
Base Mullein ;10sp/10sp ;burns ;Al ;Te ;Ru
Basil ;3sp/3sp ;antidote ;Su ;Te ;Ru
Bastit ;3sp/3sp ;repels insects ;Al ;Te ;All
Belan ;40gp/40gp ;bleeding ;Su ;Tr ;Co
Belladona, Sprig ;4 cp ;;;;
Belramba ;60gp/180gp ;nerve damage ;Su ;Te ;Fo
Bilberry ;500gp/3000gp ;infravision ;Sp ;Te ;Fo
Birthnot ;2cp/2cp ;contraceptive ;Al ;Te ;Hi
Bishop's Weed ;4gp/10gp ;plague ;Su ;Te ;Ru
Bittermourn ;1000gp and up ;longevity ;Wi ;Po ;All
Blackberry ;1gp/1gp ;bleeding ;Sp ;Te ;Ru
Blackroot ;4gp/4gp ;healing ;Su ;Te ;All
Black Rose ;100gp/100g ;liquid absorption ;Sp/Su ;Te ;All
Bloodkeep ;4sp/4sp ;bleeding ;Sp ;Te ;Co
Borage ;1gp/10gp ;fever ;Sp ;Te ;Fo
Breldiar ;50 gp/50gp ;alters perception ;Sp ;Te ;Vo
Bull-Rush ;2sp/3sp ;sleep ;Al ;Te/St ;Sw
Burdock ;10gp/30gp ;syphilis ;Sp ;Te ;Ru
Bursthelas ;110gp/1000gp ;fractures ;Su ;Te ;Gr
Caffar ;10gp/10gp ;psi enhancement ;Su/Au ;Tr ;De
Calamus ;5gp/15gp ;restores hearing ;Sp/Su ;Te ;Sw
Calcena Mushroom ;100gp/1000gp ;hallucinogenic ;Al ;All ;Un
Callin ;5gp/25gp ;heart attacks ;Au ;Te ;Ju
Cat's Tail ;1gp/3gp ;heals heels ;Su ;Te ;Fo
Cephalophage ;100gp/100gp ;see description ;Al ;Te ;Sp
Chamomile ;2gp/3gp ;calming effect ;Sp/Su ;Te ;Ru
Chervil ;10gp/10gp ;dissolve clots ;Al ;Te ;Fo
Cinquefoil ;10gp/15gp ;aphrodisiac ;Su ;Te ;Ru
