Tack & Harness ;Cost ;Weight
;;
Barding, Half brigandine ;500 gp ;100
Barding, Chain ;500 gp ;300
Barding, Leather ;200 gp ;70
Barding, Padded, Full ;150 gp ;60
Barding, Padded, Half ;100 gp ;40
Barding, Plate, Full ;2000 gp ;500
Barding, Plate, Half ;800 gp ;250
Barding, Scale ;200 gp ;200
Barding, Full Scale ;1000;300
Barding, Half scale ;500 gp ;200
Barding, Splint ;400 gp ;400
Bit & Bridle ;15 sp ;2
Halter ;5 cp ;0.1
Harness ;12 cp ;10
Harness, Cart ;2 gp ;10
Horseshoes (installed) ;1 gp ;10
Saddle, Pack ;5 gp ;15
Sabble, Riding ;10 gp ;35
Saddle Bags,large ;4 gp ;8
Saddle Bags,small ;3 gp ;5
Saddle Blanket ;3 sp ;4
Yoke, Horse ;5;15
Yoke, Ox ;3;20
