Arms ;Cost ;Weight ;Damage ;S ;T ;Sp ;ROF ;Range
;;;;;;;;
Axe, Battle, 2-Handed ;15 gp ;17;1-10/1-12 ;L ;S ;12;;
Axe, Battle ;5 gp ;7;1-8/1-8 ;M ;S ;7;;
Axe, Hand ;1 gp ;5;1-6/1-4 ;M ;S ;4;1;
Club ;0;3;1-6/1-3 ;M ;B ;4;1;1/2/3
Flail, Footman's ;15 gp ;15;2-7/2-8 ;M ;B ;7;;
Flail, Horseman's ;8 gp ;5;2-5/2-5 ;M ;B ;6;;
Hammer, Maul ;5 gp ;10;1-6/1-8 ;M ;B ;9;;
Hammer, War ;2 gp ;5;2-5/1-4 ;M ;B ;4;1;1/2/3
Mace,footman's ;8 gp ;10;2-7/1-6 ;M ;B ;7;;
Mace,horseman's ;5 gp ;6;1-6/1-4 ;M ;B ;6;;
Morning Star ;10 gp ;12;2-8/2-7 ;M ;P/B ;7;;
Pick, Military, Footman's ;8 gp ;6;2-7/2-8 ;M ;P ;7;;
Pick, Military, Horseman's ;7 gp ;4;2-5/1-4 ;M ;P ;6;;
Sickle ;6 sp ;3;1-6/1-4 ;S ;S ;4;;
