Arms ;Cost ;Weight ;Damage ;S ;T ;Sp ;ROF ;Range
;;;;;;;;
Bo Stick ;2 cp ;4;1-3/1-3 ;L ;B ;4;;
Lance, Heavy @ ;15 gp ;15;3-9/3-18 ;L ;P ;8;;
Lance, Jousting @ ;20 gp ;20;0-2/0-1 ;L ;P ;6;;
Lance, Light @ ;6 gp ;5;1-6/1-8 ;L ;P ;10;;
Lance, Medium @ ;10 gp ;10;2-7/2-12 ;L ;P ;7;;
Mancatcher ;30 gp ;8;1-2/1-2 ;L ;0;7;;
Polearm, Awl Pike # ;3 gp ;8;1-6/1-12 ;L ;P ;13;;
Polearm, Bardiche ;7 gp ;12;2-8/3-12 ;L ;s ;9;;
Polearm, Bec de corbin ;8 gp ;10;1-8/1-6 ;L ;P/B ;9;;
Polearm, Bill-Guisarme ;7 gp ;15;2-8/1-10 ;L ;P/S ;10;;
Polearm, Fauchard ;5 gp ;7;1-6/1-8 ;L ;P/S ;8;;
Polearm, Fauchard-Fork ;8 gp ;9;1-8/1-10 ;L ;P/S ;8;;
Polearm, Glaive * ;6 gp ;8;1-6/1-10 ;L ;S ;8;;
Polearm, Glaive-Guisarme * ;10 gp ;10;2-8/2-12 ;L ;P/S ;9;;
Polearm, Guisarme ;5 gp ;8;2-8/1-8 ;L ;S ;8;;
Polearm, Guisarme-Voulge ;7 gp ;15;2-8/2-8 ;L ;P/S ;10;;
Polearm, Halberd ;9 gp ;15;1-10/2-12 ;L ;P/S ;9;;
Polearm, Hook Fauchard ;10 gp ;8;1-4/1-4 ;L ;P/S ;9;;
Polearm, Lucern Hammer # ;7 gp ;15;2-8/1-6 ;L ;P/B ;9;;
Polearm, Military Fork * ;5 gp ;7.5;1-8/2-8 ;L ;P ;7;;
Polearm, Naginata # ;8 gp ;10;1-8/1-10 ;L ;P ;7;;
Polearm, Partisan # ;10 gp ;8;1-6/2-7 ;L ;P ;9;;
Polearm, Ranseur # ;6 gp ;7;2-8/2-8 ;L ;P ;8;;
Polearm, Spetum # ;5 gp ;7;2-7/2-12 ;L ;P ;8;;
Polearm, Tetsubo ;2 gp ;7;1-8/1-8 ;L ;P ;8;;
Polearm, Voulge # ;5 gp ;12.5;2-8/2-8 ;L ;S ;10;;
Quarterstaff ;1 bp ;4;1-6/1-6 ;L ;B ;4;;
Spear ;8 sp ;5;1-6/1-8 ;M ;P ;6;1;1/2/3
2 Handed # ;8 sp ;5;2-9/2-12 ;M ;P ;6;1;1/2/3
Spear, Long ;5 gp ;8;1-8/2-9 ;L ;P ;8;;
2 Handed # ;5 gp ;8;2-12/3-18 ;L ;P ;8;;
Spear, Stone ;8 cp ;5;1-4/1-6 ;M ;P ;6;1;1/2/3
2 Handed ;8 cp ;5;1-6/2-8 ;M ;P ;6;1;1/2/3
Trident ;15 gp ;5;2-7/3-12 ;L ;P ;7;1;0/1/2
2 Handed ;15 gp ;5;2-9/3-12 ;L ;P ;7;1;0/1/2
