"S1"	"M1"	"F1"	"L1"	"L2"
"Adal"	"bin"	"ba"	"Burr"	"agamba"
"Ade"	"bo"	"bella"	"Bagg"	"bairn"
"Ama"	"bras"	"bra"	"Brand"	"birdle"
"And"	"co"	"by"	"Brace"	"body"
"Aspho"	"del"	"da"	"Brock"	"briar"
"Bal"	"do"	"dal"	"Brown"	"buck"
"Bando"	"doc"	"donna"	"Clay"	"childe"
"Bel"	"dro"	"drida"	"Dig"	"e"
"Belo"	"ffo"	"ga"	"Fair"	"es"
"Bery"	"fus"	"gold"	"Gal"	"foot"
"Bia"	"go"	"gra"	"Gamm"	"got"
"Bil"	"gol"	"la"	"Gard"	"hand"
"Bow"	"grim"	"lla"	"Gaw"	"hanger"
"Buc"	"l"	"lla"	"Gold"	"heaver"
"Bun"	"lard"	"llilla"	"Good"	"hill"
"Camo"	"lco"	"lva"	"Goold"	"hobble"
"Cela"	"lfast"	"nca"	"Green"	"hole"
"Cot"	"lfred"	"ndine"	"Hay"	"holes"
"Déa"	"lman"	"nna"	"Head"	"house"
"Dor"	"lot"	"ntha"	"Hioth"	"hovel"
"Dro"	"lric"	"nthine"	"Hogg"	"ins"
"Du"	"man"	"ppy"	"Horn"	"ly"
"Egla"	"mbard"	"ranth"	"Light"	"ow"
"Fara"	"mfast"	"rose"	"Mag"	"pie"
"Fasto"	"mir"	"rtle"	"Mug"	"ran"
"Fo"	"mpernel"	"sa"	"Noak"	"send"
"Fro"	"nco"	"ta"	"Took"	"strong"
"Gero"	"ndad"	"tha"	"Old"	"ville"
"Gorba"	"ngo"	"wa"	"Pott"	"ward"
"Gorbu"	"ngrim"		"Proud"	"wort"
"Gorhe"	"ppin"		"Puddl"	"worthy"
"Gri"	"rcho"		"Rumbl"	"worthy"
"Ha"	"regrin"		"Sack"	"ybuck"
"Hu"	"rgo"		"Small"	"yman"
"Ise"	"ric"		"Stoor"	
"Isu"	"roth"		"Tûk"	
"La"	"sco"		"Tunnel"	
"Lo"	"tho"		"Two"	
"Lo"	"vacar"		"Town"	
"Ma"	"wise"		"Under"	
"Me"			"Whit"	
"Mi"				
"Mo"				
"Mu"				
"My"				
"O"				
"Odo"				
"Pa"				
"Pe"				
"Pi"				
"Po"				
"Po"				
"Ro"				
"Ru"				
"Smé"				
"Ta"				
"To"				
