"File"	"Name"	"Plague"	"Effect"
"00"	"The Fool"	"Fool"	"Lose 10,000 XP and you must draw again."
"01"	"The Magician"		
"02"	"The High Priestess"		
"03"	"The Empress"		
"04"	"The Emperor"		
"05"	"The Hierophant"	"Key"	"Gain a major magic weapon."
"06"	"The Lovers"		
"07"	"The Chariot"		
"08"	"Strength"		
"09"	"The Hermit"	"Vizier"	"Know the answer to your next dilemma."
"10"	"Wheel of Fortune"		
"11"	"Justice"	"Balance"	"Change alignment instantly."
"12"	"The Hanged Man"	"Jester"	"Gain 10,000 XP or two more draws from the deck."
"13"	"Death"	"Skull"	"Defeat dread wraith or be forever destroyed."
"14"	"Temperance"		
"15"	"The Devil"	"Flames"	"Enmity between you and an outer planar creature."
"16"	"The Tower"	"Ruin"	"Immediately lose all wealth and property."
"17"	"The Star"	"Star"	"Immediately gain a +2 inherent bonus to one ability score."
"18"	"The Moon"	"Moon"	"You are granted 1d4 wishes."
"19"	"The Sun"	"Sun"	"Gain beneficial miscellaneous magical item and 50,000 XP."
"20"	"Judgement"		
"21"	"The World"		
"cu01"	"Ace of Cups"		
"cu02"	"2 of Cups"		
"cu03"	"3 of Cups"	"The Fates"	"Avoid any situation you choose, once."
"cu04"	"4 of Cups"		
"cu05"	"5 of Cups"		
"cu06"	"6 of Cups"		
"cu07"	"7 of Cups"	"Gem"	"Gain your choice of 25 pieces of jewelry or 50 gems."
"cu08"	"8 of Cups"		
"cu09"	"9 of Cups"		
"cu10"	"10 of Cups"		
"cuki"	"King of Cups"		
"cukn"	"Knight of Cups"		
"cupa"	"Page of Cups"		
"cuqu"	"Queen of Cups "		
"pe01"	"Ace of Pentacles"		
"pe02"	"2 of Pentacles"	"Idiot"	"Lose 1d4+1 intelligence. You may draw again."
"pe03"	"3 of Pentacles"		
"pe04"	"4 of Pentacles"		
"pe05"	"5 of Pentacles"		
"pe06"	"6 of Pentacles"		
"pe07"	"7 of Pentacles"		
"pe08"	"8 of Pentacles"		
"pe09"	"9 of Pentacles"		
"pe10"	"10 of Pentacles"		
"peki"	"King of Pentacles"		
"pekn"	"Knight of Pentacles"		
"pepa"	"Page of Pentacles"		
"pequ"	"Queen of Pentacles "	"Talons"	"All magical items you possess disappear permanently."
"sw01"	"Ace of Swords"		
"sw02"	"2 of Swords"	"Comet"	"Defeat the next monster you meet to gain one level."
"sw03"	"3 of Swords"		
"sw04"	"4 of Swords"	"Donjon"	"You are imprisoned."
"sw05"	"5 of Swords"	"Rogue"	"One of your friends turns against you."
"sw06"	"6 of Swords"		
"sw07"	"7 of Swords"		
"sw08"	"8 of Swords"	"The Void"	"Body functions, but soul is trapped elsewhere."
"sw09"	"9 of Swords"		
"sw10"	"10 of Swords"	"Eurayle"	"-1 penalty on all saving throws henceforth."
"swki"	"King of Swords"		
"swkn"	"Knight of Swords"		
"swpa"	"Page of Swords"	"Knight"	"Gain the service of a 4th level fighter."
"swqu"	"Queen of Swords "		
"wa01"	"Ace of Wands"		
"wa02"	"2 of Wands"		
"wa03"	"3 of Wands"		
"wa04"	"4 of Wands"	"Throne"	"Gain charisma of 18 plus a small keep."
"wa05"	"5 of Wands"		
"wa06"	"6 of Wands"		
"wa07"	"7 of Wands"		
"wa08"	"8 of Wands"		
"wa09"	"9 of Wands"		
"wa10"	"10 of Wands"		
"waki"	"King of Wands"		
"wakn"	"Knight of Wands"		
"wapa"	"Page of Wands"		
"waqu "	"Queen of Wands "		
